"","IDy","ID_Parcelle","type_prod","Autres outils","Charrue","Outil à dents","Outil à disques","Outil rotatif","Pas de travail du sol","nb_tot_trav_sol","Fertilisation (autre)","Fertilisation minérale","Fertilisation organique","Fertilisation organo-minérale","Pas de fertilisation","nb_tot_ferti","tot_azote","Désherbage complet","Désherbage partiel","Désherbage sélectif","Enherbement total","Information inconnue.x","Pas de désherbage","nb_tot_herb","N_trait","N_trait_k","N_missing","IFT_herbi","IFT_insec","IFT_fongi","IFT_tot","IFT_tot2","Animaux de pâture","Autres (non chimiques)","Broyage ou tonte sans ramassage","Fauchage avec exportation des fauches","Fauchage sans exportation des fauches","Herbicide non sélectif de contact","Herbicide non sélectif systémique","Herbicide sélectif antidicotylédones","Herbicide sélectif antigraminées","Information inconnue.y","Intervention chimique (indéfini)","Intervention mécanique (indéfini)","Pas d'intervention","Tonte avec ramassage","nb_tot_int","nb_int_non_ch","nb_int_chim"
"1","1_2012",1,"Conventionnel",1,1,0,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1_2013",1,"Conventionnel",0,0,0,1,0,0,1,0,1,1,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,4,4,0,0.65,0,0,0.65,0.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"3","1_2014",1,"Conventionnel",1,2,0,1,2,0,6,0,0,1,0,0,1,0,0,0,3,0,0,0,3,5,5,0,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"4","1_2015",1,"Conventionnel",3,1,1,1,1,0,7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,7,3,4,1.5,0,0,1.5,1.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"5","1_2016",1,"Conventionnel",0,1,0,2,0,0,3,0,4,0,0,0,4,140,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1_2017",1,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,40,0,0,1,0,0,0,1,14,2,12,0,0,1.2,1.2,1.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"7","10_2012",10,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","10_2013",10,"Conventionnel",0,2,0,1,1,0,4,0,2,0,0,0,2,129,0,0,3,0,0,0,3,5,5,0,2.05952380952381,0,0,2.05952380952381,2.05952380952381,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"9","10_2014",10,"Conventionnel",0,1,0,0,0,0,1,0,2,0,0,0,2,171,0,0,2,0,0,0,2,28,23,5,3.135,3.44277108433735,3.94,10.5177710843373,10.5177710843373,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"10","10_2015",10,"Conventionnel",0,1,0,0,0,0,1,0,3,0,0,0,3,168,0,0,3,0,0,0,3,23,23,0,3.8125,3.45,2.25,9.5125,9.5125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","10_2016",10,"Conventionnel",0,1,0,0,0,0,1,0,2,0,0,0,2,120,0,0,2,0,0,0,2,12,5,7,0.646666666666667,0,2,3.58,2.64666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","10_2017",10,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,2,131.7,0,0,1,0,0,0,1,12,12,0,0.533333333333333,1,5.04,6.57333333333333,6.57333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","100_2012",100,"Biologique",0,1,2,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","100_2013",100,"Biologique",0,1,0,2,0,0,3,0,0,1,0,0,1,24,0,0,3,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"15","100_2014",100,"Biologique",1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"16","100_2015",100,"Biologique",0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"17","100_2016",100,"Biologique",0,1,3,0,0,0,4,0,0,2,0,0,2,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","100_2017",100,"Biologique",2,0,4,0,1,0,7,0,0,1,0,0,1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","101_2012",101,"Conventionnel",1,0,0,3,0,0,4,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,3,2,1,0,0,0,0.733333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","101_2013",101,"Conventionnel",3,0,1,1,0,0,5,0,3,0,0,0,3,0,0,0,2,0,0,0,2,2,2,0,1.6,0,0,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
